type,nr,localized_name,api_name,unoconv,extensions,flags
presentation,41,OpenOffice.org 1.0 Presentation,StarOffice XML (Impress),sxi,sxi,IMPORT EXPORT TEMPLATE OWN ALIEN PREFERED
presentation,42,StarDraw 3.0 (OpenOffice.org Impress),StarDraw 3.0 (StarImpress),sdd3,sdd,IMPORT EXPORT TEMPLATE OWN ALIEN 3RDPARTYFILTER
presentation,43,HTML Document (OpenOffice.org Impress),impress_html_Export,html,html,EXPORT ALIEN
formula,1,StarMath 3.0,StarMath 3.0,,,IMPORT OWN ALIEN 3RDPARTYFILTER
formula,2,StarMath 5.0,StarMath 5.0,,,IMPORT EXPORT OWN ALIEN 3RDPARTYFILTER
formula,3,OpenOffice.org 1.0 Formula,StarOffice XML (Math),,,IMPORT EXPORT TEMPLATE OWN ALIEN
formula,4,MathType3.x,MathType 3.x,,,IMPORT EXPORT ALIEN NOTINFILEDIALOG NOTINCHOOSER
formula,5,StarMath 2.0,StarMath 2.0,,,IMPORT ALIEN
formula,6,StarMath 4.0,StarMath 4.0,,,IMPORT OWN ALIEN 3RDPARTYFILTER
formula,7,PDF - Portable Document Format,math_pdf_Export,,,EXPORT ALIEN 3RDPARTYFILTER
formula,8,MathML 1.01,MathML XML (Math),,,IMPORT EXPORT TEMPLATE
formula,9,ODF Formula,math8,,,IMPORT EXPORT TEMPLATE OWN DEFAULT
database,1,ODF Database,StarOffice XML (Base),,,IMPORT EXPORT OWN DEFAULT 3RDPARTYFILTER
